Club,Game Played,W,D,L,+/-,Year,Pts,Pts Diff,Goal For,GF Diff,Goal Against,GA Diff,Expenditure,Arrivals,Income,Departures,Balance
Newcastle,38,14,9,15,-6,2000,51,-1.0,44,-19.0,50,-4.0,€57.50m,39.0,€27.27m,43.0,-30220000.0
Newcastle,38,14,10,14,9,1999,52,6.0,63,15.0,54,-0.0,€53.16m,44.0,€47.84m,41.0,-5330000.0
Newcastle,38,11,13,14,-6,1998,46,2.0,48,13.0,54,10.0,€68.88m,47.0,€51.75m,44.0,-17130000.0
Newcastle,38,11,11,16,-9,1997,44,-24.0,35,-38.0,44,4.0,€75.22m,54.0,€48.42m,39.0,-26800000.0
Newcastle,38,19,11,8,33,1996,68,-10.0,73,7.0,40,3.0,€51.59m,40.0,€26.58m,25.0,-25010000.0
Newcastle,38,24,6,8,29,1995,78,6.0,66,-1.0,37,-10.0,€50.20m,19.0,€17.79m,23.0,-32409999.0
Newcastle,42,20,12,10,20,1994,72,-5.0,67,-15.0,47,6.0,€43.08m,20.0,€20.35m,22.0,-22730000.0
Newcastle,42,23,8,11,41,1993,77,,82,,41,,€16.73m,24.0,€16.03m,25.0,-706000.0
Norwich,38,5,7,26,-61,2021,22,,23,-3.0,84,9.0,€78.55m,47.0,€42.47m,54.0,-36080000.0
Norwich,38,5,6,27,-49,2019,21,,26,-13.0,75,8.0,,,,,
Norwich,38,9,7,22,-28,2015,34,,39,11.0,67,5.0,€76.95m,51.0,€58.19m,48.0,-18760000.0
Norwich,38,8,9,21,-34,2013,33,-11.0,28,-13.0,62,4.0,€50.39m,47.0,€24.22m,48.0,-26180000.0
Norwich,38,10,14,14,-17,2012,44,-3.0,41,-11.0,58,-8.0,€41.13m,49.0,€5.22m,45.0,-35920000.0
Norwich,38,12,11,15,-14,2011,47,,52,10.0,66,-11.0,€26.33m,47.0,€880k,42.0,-25450000.0
Norwich,38,7,12,19,-35,2004,33,,42,5.0,77,23.0,€14.35m,38.0,€13.94m,36.0,-410000.0
Norwich,42,10,13,19,-17,1994,43,-10.0,37,-28.0,54,-7.0,,,,,
Norwich,42,12,17,13,4,1993,53,,65,,61,,€4.08m,21.0,€13.62m,20.0,9540000.0
Nottm Forest,38,9,9,20,-18,2023,32,-6.0,49,11.0,67,-1.0,€131.05m,44.0,€87.32m,51.0,-43730000.0
Nottm Forest,38,9,11,18,-30,2022,38,,38,3.0,68,-1.0,€325.60m,77.0,€87.82m,67.0,-237780000.0
Nottm Forest,38,7,9,22,-34,1998,30,,35,4.0,69,10.0,€19.79m,52.0,€24.78m,52.0,4990000.0
Nottm Forest,38,6,16,16,-28,1996,34,-24.0,31,-19.0,59,5.0,€17.16m,42.0,€5.20m,42.0,-11970000.0
Nottm Forest,38,15,13,10,-4,1995,58,-19.0,50,-22.0,54,11.0,€13.53m,37.0,€15.41m,31.0,1880000.0
Nottm Forest,42,22,11,9,29,1994,77,,72,,43,,€10.54m,22.0,€14.95m,20.0,4400000.0
Oldham,42,9,13,20,-26,1993,40,,42,,68,,,,,,
Portsmouth,38,7,7,24,-32,2009,19,-22.0,34,-4.0,66,9.0,€10.56m,57.0,€68.23m,70.0,57670000.0
Portsmouth,38,10,11,17,-19,2008,41,-16.0,38,-10.0,57,17.0,€38.76m,61.0,€106.20m,59.0,67440000.0
Portsmouth,38,16,9,13,8,2007,57,3.0,48,3.0,40,-2.0,€86.84m,56.0,€77.53m,49.0,-9320000.0
Portsmouth,38,14,12,12,3,2006,54,16.0,45,8.0,42,-20.0,€67.74m,55.0,€24.63m,56.0,-43120000.0
Portsmouth,38,10,8,20,-25,2005,38,-1.0,37,-6.0,62,3.0,€27.88m,67.0,€13.40m,66.0,-14480000.0
Portsmouth,38,10,9,19,-16,2004,39,-6.0,43,-4.0,59,5.0,€29.63m,66.0,€18.75m,71.0,-10880000.0
Portsmouth,38,12,9,17,-7,2003,45,,47,,54,,€22.63m,64.0,€6.80m,73.0,-15830000.0
QPR,38,8,6,24,-31,2014,30,,42,12.0,73,13.0,€60.95m,76.0,€37.84m,75.0,-23110000.0
QPR,38,4,13,21,-30,2012,25,-12.0,30,-13.0,60,-6.0,€62.18m,82.0,€19.56m,86.0,-42620000.0
QPR,38,10,7,21,-23,2011,37,,43,5.0,66,9.0,€76.58m,84.0,€7.31m,87.0,-69270000.0
QPR,38,9,6,23,-19,1995,33,-27.0,38,-23.0,57,-2.0,€7.46m,26.0,€12.99m,28.0,5530000.0
QPR,42,17,9,16,2,1994,60,-0.0,61,-1.0,59,-2.0,€5.69m,20.0,€17.78m,23.0,12080000.0
QPR,42,16,12,14,1,1993,60,,62,,61,,,,,,
Reading,38,6,10,22,-30,2012,28,,43,2.0,73,7.0,€12.82m,48.0,€6.03m,51.0,-6790000.0
Reading,38,10,6,22,-25,2007,36,-19.0,41,-11.0,66,19.0,€14.86m,78.0,€22.60m,78.0,7740000.0
Reading,38,16,7,15,5,2006,55,,52,,47,,€20.93m,67.0,€5.70m,52.0,-15230000.0
Sheff Utd,38,3,7,28,-69,2023,16,,35,15.0,104,41.0,€66.95m,20.0,€30.90m,23.0,-36050000.0
Sheff Utd,38,7,2,29,-43,2020,23,-31.0,20,-19.0,63,24.0,€63.00m,32.0,€28.00m,38.0,-35000000.0
Sheff Utd,38,14,12,12,0,2019,54,,39,7.0,39,-16.0,€135.20m,39.0,€350k,40.0,-134850000.0
Sheff Utd,38,10,8,20,-23,2006,38,,32,-10.0,55,-5.0,€27.93m,83.0,€19.88m,86.0,-8050000.0
Sheff Utd,42,8,18,16,-18,1993,42,,42,,60,,,,,,
Sheff Wed,38,8,7,23,-32,1999,31,-15.0,38,-3.0,70,28.0,,,,,
Sheff Wed,38,13,7,18,-1,1998,46,2.0,41,-11.0,42,-25.0,€12.61m,34.0,€7.16m,36.0,-5450000.0
Sheff Wed,38,12,8,18,-15,1997,44,-13.0,52,2.0,67,16.0,€15.60m,39.0,€8.03m,34.0,-7570000.0
Sheff Wed,38,14,15,9,-1,1996,57,17.0,50,2.0,51,-10.0,€25.14m,38.0,€13.21m,28.0,-11930000.0
Sheff Wed,38,10,10,18,-13,1995,40,-11.0,48,-1.0,61,4.0,€26.91m,30.0,€14.61m,26.0,-12290000.0
Sheff Wed,42,13,12,17,-8,1994,51,-13.0,49,-27.0,57,3.0,€17.21m,22.0,€14.63m,25.0,-2570000.0
Sheff Wed,42,16,16,10,22,1993,64,,76,,54,,€11.86m,17.0,€13.57m,17.0,1710000.0
Southampton,38,6,7,25,-37,2022,25,-15.0,36,-7.0,73,6.0,€173.66m,33.0,€192.74m,39.0,19080000.0
Southampton,38,9,13,16,-24,2021,40,-3.0,43,-4.0,67,-1.0,€215.51m,31.0,€65.85m,28.0,-149660000.0
Southampton,38,12,7,19,-21,2020,43,-9.0,47,-4.0,68,8.0,€100.70m,33.0,€86.65m,32.0,-14050000.0
Southampton,38,15,7,16,-9,2019,52,13.0,51,6.0,60,-5.0,€98.80m,37.0,€53.60m,35.0,-45200000.0
Southampton,38,9,12,17,-20,2018,39,3.0,45,8.0,65,9.0,€123.75m,30.0,€53.40m,35.0,-70350000.0
Southampton,38,7,15,16,-19,2017,36,-10.0,37,-4.0,56,8.0,€123.50m,28.0,€124.45m,32.0,950000.0
Southampton,38,12,10,16,-7,2016,46,-17.0,41,-18.0,48,7.0,€130.15m,24.0,€183.40m,23.0,53250000.0
Southampton,38,18,9,11,18,2015,63,3.0,59,5.0,41,8.0,€129.00m,28.0,€137.75m,26.0,8750000.0
Southampton,38,18,6,14,21,2014,60,4.0,54,-0.0,33,-13.0,€156.10m,41.0,€176.53m,38.0,20430000.0
Southampton,38,15,11,12,8,2013,56,15.0,54,5.0,46,-14.0,€135.60m,40.0,€128.03m,44.0,-7570000.0
Southampton,38,9,14,15,-11,2012,41,,49,4.0,60,-6.0,€81.10m,44.0,€4.20m,48.0,-76900000.0
Southampton,38,6,14,18,-21,2004,32,-15.0,45,1.0,66,21.0,€16.53m,70.0,€41.43m,69.0,24900000.0
Southampton,38,12,11,15,-1,2003,47,-5.0,44,1.0,45,-1.0,€21.65m,54.0,€22.38m,51.0,725000.0
Southampton,38,13,13,12,-3,2002,52,7.0,43,-3.0,46,-8.0,€20.98m,36.0,€10.88m,38.0,-10100000.0
Southampton,38,12,9,17,-8,2001,45,-7.0,46,6.0,54,6.0,€31.35m,32.0,€14.45m,33.0,-16900000.0
Southampton,38,14,10,14,-8,2000,52,8.0,40,-5.0,48,-14.0,€19.35m,30.0,€14.60m,32.0,-4760000.0
Southampton,38,12,8,18,-17,1999,44,3.0,45,8.0,62,-2.0,,,,,
Southampton,38,11,8,19,-27,1998,41,-7.0,37,-13.0,64,9.0,€10.73m,39.0,€13.61m,34.0,2880000.0
Southampton,38,14,6,18,-5,1997,48,7.0,50,-0.0,55,-1.0,€16.18m,39.0,€18.03m,34.0,1860000.0
Southampton,38,10,11,17,-6,1996,41,3.0,50,16.0,56,4.0,€12.12m,37.0,€10.26m,38.0,-1860000.0
Southampton,38,9,11,18,-18,1995,38,-16.0,34,-27.0,52,-11.0,€5.48m,25.0,€5.25m,24.0,-230000.0
Southampton,42,12,18,12,-2,1994,54,11.0,61,12.0,63,-3.0,€5.53m,15.0,€3.12m,22.0,-2400000.0
Southampton,42,12,7,23,-17,1993,43,,49,,66,,€6.21m,22.0,€6.87m,27.0,665000.0
Stoke City,38,7,12,19,-33,2017,33,-11.0,35,-6.0,68,12.0,€120.60m,40.0,€65.29m,42.0,-55310000.0
Stoke City,38,11,11,16,-15,2016,44,-7.0,41,-0.0,56,1.0,€99.87m,32.0,€38.94m,30.0,-60930000.0
Stoke City,38,14,9,15,-14,2015,51,-3.0,41,-7.0,55,10.0,€95.82m,27.0,€27.00m,27.0,-68820000.0
Stoke City,38,15,9,14,3,2014,54,4.0,48,3.0,45,-7.0,€55.45m,31.0,€27.00m,33.0,-28450000.0
Stoke City,38,13,11,14,-7,2013,50,8.0,45,11.0,52,7.0,,,,,
Stoke City,38,9,15,14,-11,2012,42,-3.0,34,-2.0,45,-8.0,€30.68m,43.0,€640k,44.0,-30040000.0
Stoke City,38,11,12,15,-17,2011,45,-1.0,36,-10.0,53,5.0,€48.48m,49.0,€2.63m,50.0,-45860000.0
Stoke City,38,13,7,18,-2,2010,46,-1.0,46,12.0,48,-0.0,€45.90m,50.0,€8.76m,49.0,-37140000.0
Stoke City,38,11,14,13,-14,2009,47,2.0,34,-4.0,48,-7.0,€47.15m,47.0,€13.28m,46.0,-33880000.0
Stoke City,38,12,9,17,-17,2008,45,,38,,55,,€60.00m,47.0,€7.27m,42.0,-52740000.0
Sunderland,38,6,6,26,-40,2016,24,-15.0,29,-19.0,69,7.0,€43.31m,47.0,€56.91m,50.0,13610000.0
Sunderland,38,9,12,17,-14,2015,39,1.0,48,17.0,62,9.0,€107.95m,54.0,€34.77m,48.0,-73180000.0
Sunderland,38,7,17,14,-22,2014,38,-0.0,31,-10.0,53,-7.0,€88.57m,50.0,€18.25m,56.0,-70320000.0
Sunderland,38,10,8,20,-19,2013,38,-1.0,41,-0.0,60,6.0,€56.43m,57.0,€29.63m,64.0,-26800000.0
Sunderland,38,9,12,17,-13,2012,39,-6.0,41,-4.0,54,8.0,€72.21m,62.0,€37.21m,63.0,-35010000.0
Sunderland,38,11,12,15,-1,2011,45,-2.0,45,-0.0,46,-10.0,€66.22m,61.0,€41.15m,62.0,-25070000.0
Sunderland,38,12,11,15,-11,2010,47,3.0,45,-3.0,56,-0.0,€57.02m,66.0,€68.10m,63.0,11080000.0
Sunderland,38,11,11,16,-8,2009,44,8.0,48,14.0,56,2.0,€66.10m,55.0,€63.05m,60.0,-3050000.0
Sunderland,38,9,9,20,-20,2008,36,-3.0,34,-2.0,54,-5.0,€70.11m,58.0,€32.43m,63.0,-37690000.0
Sunderland,38,11,6,21,-23,2007,39,,36,10.0,59,-10.0,€97.43m,65.0,€14.35m,55.0,-83080000.0
Sunderland,38,3,6,29,-43,2005,15,,26,5.0,69,4.0,€22.03m,55.0,€11.80m,61.0,-10230000.0
Sunderland,38,4,7,27,-44,2002,19,-21.0,21,-8.0,65,14.0,€29.96m,53.0,€23.83m,51.0,-6130000.0
Sunderland,38,10,10,18,-22,2001,40,-17.0,29,-17.0,51,10.0,€59.43m,39.0,€12.89m,34.0,-46550000.0
Sunderland,38,15,12,11,5,2000,57,-1.0,46,-11.0,41,-15.0,€46.34m,34.0,€18.41m,40.0,-27930000.0
Sunderland,38,16,10,12,1,1999,58,,57,22.0,56,3.0,€33.56m,48.0,€17.63m,50.0,-15940000.0
Sunderland,38,10,10,18,-18,1996,40,,35,,53,,€12.19m,30.0,€2.06m,28.0,-10130000.0
Swansea,38,8,9,21,-28,2017,33,-8.0,28,-17.0,56,-14.0,,,,,
Swansea,38,12,5,21,-25,2016,41,-6.0,45,3.0,70,18.0,,,,,
Swansea,38,12,11,15,-10,2015,47,-9.0,42,-4.0,52,3.0,,,,,
Swansea,38,16,8,14,-3,2014,56,14.0,46,-8.0,49,-5.0,,,,,
Swansea,38,11,9,18,0,2013,42,-4.0,54,7.0,54,3.0,,,,,
Swansea,38,11,13,14,-4,2012,46,-1.0,47,3.0,51,-0.0,,,,,
Swansea,38,12,11,15,-7,2011,47,,44,,51,,,,,,
Swindon,42,5,15,22,-53,1993,30,,47,,100,,€4.80m,18.0,€5.98m,17.0,1180000.0
Tottenham,38,20,6,12,13,2023,66,6.0,74,4.0,61,-2.0,€282.10m,32.0,€120.70m,23.0,-161400000.0
Tottenham,38,18,6,14,7,2022,60,-11.0,70,1.0,63,23.0,€452.00m,41.0,€159.45m,35.0,-292550000.0
Tottenham,38,22,5,11,29,2021,71,9.0,69,1.0,40,-5.0,€275.80m,29.0,€73.37m,33.0,-202430000.0
Tottenham,38,18,8,12,23,2020,62,3.0,68,7.0,45,-2.0,€206.40m,29.0,€47.92m,30.0,-158480000.0
Tottenham,38,16,11,11,14,2019,59,-12.0,61,-6.0,47,8.0,€261.00m,27.0,€77.80m,25.0,-183200000.0
Tottenham,38,23,2,13,28,2018,71,-6.0,67,-7.0,39,3.0,€150.50m,16.0,€69.85m,18.0,-80650000.0
Tottenham,38,23,8,7,38,2017,77,-9.0,74,-12.0,36,10.0,€121.00m,19.0,€109.15m,16.0,-11850000.0
Tottenham,38,26,8,4,60,2016,86,16.0,86,17.0,26,-9.0,€204.50m,23.0,€156.10m,20.0,-48400000.0
Tottenham,38,19,13,6,34,2015,70,6.0,69,11.0,35,-18.0,€154.50m,19.0,€139.55m,29.0,-14950000.0
Tottenham,38,19,7,12,5,2014,64,-5.0,58,3.0,53,2.0,€119.48m,31.0,€131.40m,45.0,11920000.0
Tottenham,38,21,6,11,4,2013,69,-3.0,55,-11.0,51,5.0,€171.03m,50.0,€182.55m,52.0,11520000.0
Tottenham,38,21,9,8,20,2012,72,3.0,66,-0.0,46,5.0,€195.80m,59.0,€211.18m,62.0,15380000.0
Tottenham,38,20,9,9,25,2011,69,7.0,66,11.0,41,-5.0,€82.25m,65.0,€116.03m,70.0,33780000.0
Tottenham,38,16,14,8,9,2010,62,-8.0,55,-12.0,46,5.0,€35.60m,75.0,€46.19m,69.0,10590000.0
Tottenham,38,21,7,10,26,2009,70,19.0,67,22.0,41,-4.0,€66.90m,71.0,€34.64m,64.0,-32270000.0
Tottenham,38,14,9,15,0,2008,51,5.0,45,-21.0,45,-16.0,€184.25m,66.0,€119.75m,66.0,-64500000.0
Tottenham,38,11,13,14,5,2007,46,-14.0,66,9.0,61,7.0,€238.10m,60.0,€110.60m,56.0,-127500000.0
Tottenham,38,17,9,12,3,2006,60,-5.0,57,4.0,54,16.0,€155.15m,45.0,€61.20m,43.0,-93950000.0
Tottenham,38,18,11,9,15,2005,65,13.0,53,6.0,38,-3.0,€97.51m,44.0,€64.10m,47.0,-33409999.0
Tottenham,38,14,10,14,6,2004,52,7.0,47,-0.0,41,-16.0,€83.64m,62.0,€35.95m,59.0,-47690000.0
Tottenham,38,13,6,19,-10,2003,45,-5.0,47,-4.0,57,-5.0,€76.88m,54.0,€12.25m,56.0,-64629999.0
Tottenham,38,14,8,16,-11,2002,50,-0.0,51,2.0,62,9.0,€40.25m,40.0,€3.10m,44.0,-37150000.0
Tottenham,38,14,8,16,-4,2001,50,1.0,49,2.0,53,-1.0,€38.55m,33.0,€11.10m,31.0,-27450000.0
Tottenham,38,13,10,15,-7,2000,49,-4.0,47,-10.0,54,5.0,€53.79m,18.0,€12.21m,20.0,-41590000.0
Tottenham,38,15,8,15,8,1999,53,6.0,57,10.0,49,-1.0,€42.74m,23.0,€4.26m,28.0,-38490000.0
Tottenham,38,11,14,13,-3,1998,47,3.0,47,3.0,50,-6.0,€26.78m,31.0,€2.63m,32.0,-24150000.0
Tottenham,38,11,11,16,-12,1997,44,-2.0,44,-0.0,56,5.0,€27.48m,31.0,€6.61m,32.0,-20870000.0
Tottenham,38,13,7,18,-7,1996,46,-15.0,44,-6.0,51,13.0,€25.95m,32.0,€7.46m,33.0,-18490000.0
Tottenham,38,16,13,9,12,1995,61,-1.0,50,-16.0,38,-20.0,€21.62m,38.0,€15.88m,35.0,-5740000.0
Tottenham,42,16,14,12,8,1994,62,17.0,66,12.0,58,-1.0,€22.72m,38.0,€14.30m,37.0,-8430000.0
Tottenham,42,11,12,19,-5,1993,45,,54,,59,,€13.77m,34.0,€7.17m,37.0,-6600000.0
Watford,38,6,5,27,-43,2021,23,,34,-2.0,77,13.0,€62.31m,61.0,€73.68m,62.0,11370000.0
Watford,38,8,10,20,-28,2019,34,-16.0,36,-16.0,64,5.0,€56.00m,49.0,€95.90m,46.0,39900000.0
Watford,38,14,8,16,-7,2018,50,9.0,52,8.0,59,-5.0,€86.10m,47.0,€77.24m,48.0,-8860000.0
Watford,38,11,8,19,-20,2017,41,1.0,44,4.0,64,-4.0,€103.50m,58.0,€70.58m,57.0,-32920000.0
Watford,38,11,7,20,-28,2016,40,-5.0,40,-0.0,68,18.0,€143.85m,61.0,€76.84m,62.0,-67010000.0
Watford,38,12,9,17,-10,2015,45,,40,11.0,50,-9.0,€153.25m,62.0,€67.85m,62.0,-85400000.0
Watford,38,5,13,20,-30,2006,28,,29,-6.0,59,-18.0,€20.90m,58.0,€22.80m,51.0,1900000.0
Watford,38,6,6,26,-42,1999,24,,35,,77,,,,,,
West Brom,38,5,11,22,-41,2020,26,,35,4.0,76,20.0,€50.77m,37.0,€29.18m,43.0,-21590000.0
West Brom,38,6,13,19,-25,2017,31,-14.0,31,-12.0,56,5.0,€68.69m,38.0,€28.65m,35.0,-40040000.0
West Brom,38,12,9,17,-8,2016,45,2.0,43,9.0,51,3.0,€91.40m,30.0,€29.03m,25.0,-62380000.0
West Brom,38,10,13,15,-14,2015,43,-1.0,34,-4.0,48,-3.0,€80.80m,25.0,€39.90m,27.0,-40910000.0
West Brom,38,11,11,16,-13,2014,44,8.0,38,-5.0,51,-8.0,€67.78m,28.0,€15.22m,33.0,-52560000.0
West Brom,38,7,15,16,-16,2013,36,-13.0,43,-10.0,59,2.0,€40.58m,32.0,€13.70m,36.0,-26880000.0
West Brom,38,14,7,17,-4,2012,49,2.0,53,8.0,57,5.0,€20.70m,32.0,€15.13m,34.0,-5580000.0
West Brom,38,13,8,17,-7,2011,47,-0.0,45,-11.0,52,-19.0,€14.14m,41.0,€14.85m,44.0,707000.0
West Brom,38,12,11,15,-15,2010,47,,56,20.0,71,4.0,€22.97m,53.0,€11.97m,51.0,-11000000.0
West Brom,38,8,8,22,-31,2008,32,,36,5.0,67,9.0,€31.55m,43.0,€15.06m,46.0,-16489999.0
West Brom,38,7,9,22,-27,2005,30,-4.0,31,-5.0,58,-3.0,€18.15m,33.0,€11.63m,34.0,-6530000.0
West Brom,38,6,16,16,-25,2004,34,,36,7.0,61,-4.0,€31.15m,34.0,€11.03m,41.0,-20130000.0
West Brom,38,6,8,24,-36,2002,26,,29,,65,,€22.28m,33.0,€2.32m,28.0,-19960000.0
West Ham,38,14,10,14,-14,2023,52,12.0,60,18.0,74,19.0,€144.56m,16.0,€181.36m,14.0,36800000.0
West Ham,38,11,7,20,-13,2022,40,-16.0,42,-18.0,55,4.0,€331.16m,24.0,€191.91m,25.0,-139250000.0
West Ham,38,16,8,14,9,2021,56,-9.0,60,-2.0,51,4.0,€261.10m,22.0,€25.79m,21.0,-235320000.0
West Ham,38,19,8,11,15,2020,65,26.0,62,13.0,47,-15.0,€129.20m,26.0,€49.65m,25.0,-79560000.0
West Ham,38,10,9,19,-13,2019,39,-13.0,49,-3.0,62,7.0,€174.50m,26.0,€101.14m,34.0,-73360000.0
West Ham,38,15,7,16,-3,2018,52,10.0,52,4.0,55,-13.0,€220.70m,28.0,€69.50m,30.0,-151210000.0
West Ham,38,10,12,16,-20,2017,42,-3.0,48,1.0,68,4.0,€157.70m,33.0,€77.79m,38.0,-79910000.0
West Ham,38,12,9,17,-17,2016,45,-17.0,47,-18.0,64,13.0,€140.30m,37.0,€105.02m,40.0,-35280000.0
West Ham,38,16,14,8,14,2015,62,15.0,65,21.0,51,4.0,€136.20m,47.0,€59.52m,41.0,-76690000.0
West Ham,38,12,11,15,-3,2014,47,7.0,44,4.0,47,-4.0,€87.85m,50.0,€22.92m,52.0,-64940000.0
West Ham,38,11,7,20,-11,2013,40,-6.0,40,-5.0,51,-2.0,€59.15m,49.0,€4.93m,45.0,-54220000.0
West Ham,38,12,10,16,-8,2012,46,,45,2.0,53,-17.0,€47.90m,48.0,€5.58m,47.0,-42320000.0
West Ham,38,7,12,19,-27,2010,33,-2.0,43,-4.0,70,4.0,€30.11m,54.0,€15.15m,54.0,-14960000.0
West Ham,38,8,11,19,-19,2009,35,-16.0,47,5.0,66,21.0,€39.68m,40.0,€46.25m,44.0,6580000.0
West Ham,38,14,9,15,-3,2008,51,2.0,42,-0.0,45,-5.0,€37.65m,49.0,€110.13m,51.0,72480000.0
West Ham,38,13,10,15,-8,2007,49,8.0,42,7.0,50,-9.0,€63.15m,45.0,€110.83m,42.0,47680000.0
West Ham,38,12,5,21,-24,2006,41,-14.0,35,-17.0,59,4.0,€117.00m,41.0,€48.75m,40.0,-68250000.0
West Ham,38,16,7,15,-3,2005,55,,52,10.0,55,-4.0,€91.44m,55.0,€7.30m,53.0,-84140000.0
West Ham,38,10,12,16,-17,2002,42,-11.0,42,-6.0,59,2.0,€3.25m,52.0,€42.18m,55.0,38930000.0
West Ham,38,15,8,15,-9,2001,53,11.0,48,3.0,57,7.0,€22.46m,30.0,€18.20m,37.0,-4260000.0
West Ham,38,10,12,16,-5,2000,42,-13.0,45,-7.0,50,-3.0,€40.71m,37.0,€60.53m,47.0,19820000.0
West Ham,38,15,10,13,-1,1999,55,-2.0,52,6.0,53,-0.0,€27.62m,59.0,€53.60m,58.0,25980000.0
West Ham,38,16,9,13,-7,1998,57,1.0,46,-10.0,53,-4.0,€20.11m,59.0,€30.21m,49.0,10100000.0
West Ham,38,16,8,14,-1,1997,56,14.0,56,17.0,57,9.0,€23.74m,46.0,€21.01m,36.0,-2730000.0
West Ham,38,10,12,16,-9,1996,42,-9.0,39,-4.0,48,-4.0,€27.40m,42.0,€4.26m,39.0,-23140000.0
West Ham,38,14,9,15,-9,1995,51,1.0,43,-1.0,52,4.0,€19.52m,45.0,€7.34m,44.0,-12190000.0
West Ham,42,13,11,18,-4,1994,50,-2.0,44,-3.0,48,-10.0,€13.10m,42.0,€7.34m,36.0,-5760000.0
West Ham,42,13,13,16,-11,1993,52,,47,,58,,€10.39m,35.0,€4.88m,33.0,-5510000.0
Wigan,38,9,9,20,-26,2012,36,-7.0,47,5.0,73,11.0,€16.94m,57.0,€37.66m,59.0,20720000.0
Wigan,38,11,10,17,-20,2011,43,1.0,42,2.0,62,1.0,€22.91m,44.0,€24.54m,38.0,1630000.0
Wigan,38,9,15,14,-21,2010,42,6.0,40,3.0,61,-18.0,€23.78m,46.0,€14.69m,36.0,-9090000.0
Wigan,38,9,9,20,-42,2009,36,-9.0,37,3.0,79,34.0,€29.84m,41.0,€29.38m,39.0,-455000.0
Wigan,38,12,9,17,-11,2008,45,5.0,34,-0.0,45,-6.0,€42.54m,40.0,€50.48m,44.0,7950000.0
Wigan,38,10,10,18,-17,2007,40,2.0,34,-3.0,51,-8.0,€42.00m,47.0,€42.33m,47.0,325000.0
Wigan,38,10,8,20,-22,2006,38,-13.0,37,-8.0,59,7.0,€47.28m,48.0,€42.15m,46.0,-5130000.0
Wigan,38,15,6,17,-7,2005,51,,45,,52,,€45.15m,41.0,€29.95m,43.0,-15200000.0
Wimbledon,38,7,12,19,-28,1999,33,-9.0,46,6.0,74,11.0,,,,,
Wimbledon,38,10,12,16,-23,1998,42,-2.0,40,6.0,63,17.0,,,,,
Wimbledon,38,10,14,14,-12,1997,44,-12.0,34,-15.0,46,-0.0,,,,,
Wimbledon,38,15,11,12,3,1996,56,15.0,49,-6.0,46,-24.0,,,,,
Wimbledon,38,10,11,17,-15,1995,41,-15.0,55,7.0,70,5.0,,,,,
Wimbledon,42,15,11,16,-17,1994,56,-9.0,48,-8.0,65,12.0,,,,,
Wimbledon,42,18,11,13,3,1993,65,,56,,53,,,,,,
Wolves,38,13,7,18,-15,2023,46,5.0,50,19.0,65,7.0,€88.00m,34.0,€169.20m,34.0,81200000.0
Wolves,38,11,8,19,-27,2022,41,-10.0,31,-7.0,58,15.0,€265.11m,58.0,€232.07m,61.0,-33040000.0
Wolves,38,15,6,17,-5,2021,51,6.0,38,2.0,43,-9.0,€214.71m,58.0,€94.67m,50.0,-120040000.0
Wolves,38,12,9,17,-16,2020,45,-14.0,36,-15.0,52,12.0,€125.19m,47.0,€111.00m,46.0,-14190000.0
Wolves,38,15,14,9,11,2019,59,2.0,51,4.0,40,-6.0,€204.29m,49.0,€103.30m,50.0,-100990000.0
Wolves,38,16,9,13,1,2018,57,,47,7.0,46,-36.0,€229.45m,63.0,€47.40m,72.0,-182050000.0
Wolves,38,5,10,23,-42,2011,25,-15.0,40,-6.0,82,16.0,€27.38m,63.0,€32.77m,64.0,5390000.0
Wolves,38,11,7,20,-20,2010,40,2.0,46,14.0,66,10.0,€32.27m,57.0,€9.04m,57.0,-23230000.0
Wolves,38,9,11,18,-24,2009,38,,32,-6.0,56,-21.0,€39.67m,60.0,€7.31m,51.0,-32360000.0
Wolves,38,7,12,19,-39,2003,33,,38,,77,,€13.90m,46.0,€1.37m,41.0,-12540000.0
