Club,Game Played,W,D,L,+/-,Year,Pts,Pts Diff,Goal For,GF Diff,Goal Against,GA Diff
Arsenal,38,28,5,5,62,2023,89,5.0,91,3.0,29,-14.0
Arsenal,38,26,6,6,45,2022,84,15.0,88,27.0,43,-5.0
Arsenal,38,22,3,13,13,2021,69,8.0,61,6.0,48,9.0
Arsenal,38,18,7,13,16,2020,61,5.0,55,-1.0,39,-9.0
Arsenal,38,14,14,10,8,2019,56,-14.0,56,-17.0,48,-3.0
Arsenal,38,21,7,10,22,2018,70,7.0,73,-1.0,51,-0.0
Arsenal,38,19,6,13,23,2017,63,-12.0,74,-3.0,51,7.0
Arsenal,38,23,6,9,33,2016,75,4.0,77,12.0,44,8.0
Arsenal,38,20,11,7,29,2015,71,-4.0,65,-6.0,36,-0.0
Arsenal,38,22,9,7,35,2014,75,-4.0,71,3.0,36,-5.0
Arsenal,38,24,7,7,27,2013,79,6.0,68,-4.0,41,4.0
Arsenal,38,21,10,7,35,2012,73,3.0,72,-2.0,37,-12.0
Arsenal,38,21,7,10,25,2011,70,2.0,74,2.0,49,6.0
Arsenal,38,19,11,8,29,2010,68,-7.0,72,-11.0,43,2.0
Arsenal,38,23,6,9,42,2009,75,3.0,83,15.0,41,4.0
Arsenal,38,20,12,6,31,2008,72,-11.0,68,-6.0,37,6.0
Arsenal,38,24,11,3,43,2007,83,15.0,74,11.0,31,-4.0
Arsenal,38,19,11,8,28,2006,68,1.0,63,-5.0,35,4.0
Arsenal,38,20,7,11,37,2005,67,-16.0,68,-19.0,31,-5.0
Arsenal,38,25,8,5,51,2004,83,-7.0,87,14.0,36,10.0
Arsenal,38,26,12,0,47,2003,90,12.0,73,-12.0,26,-16.0
Arsenal,38,23,9,6,43,2002,78,-9.0,85,6.0,42,6.0
Arsenal,38,26,9,3,43,2001,87,17.0,79,16.0,36,-2.0
Arsenal,38,20,10,8,25,2000,70,-3.0,63,-10.0,38,-5.0
Arsenal,38,22,7,9,30,1999,73,-5.0,73,14.0,43,26.0
Arsenal,38,22,12,4,42,1998,78,-0.0,59,-9.0,17,-16.0
Arsenal,38,23,9,6,35,1997,78,10.0,68,6.0,33,1.0
Arsenal,38,19,11,8,30,1996,68,5.0,62,13.0,32,-0.0
Arsenal,38,17,12,9,17,1995,63,12.0,49,-3.0,32,-17.0
Arsenal,42,13,12,17,3,1994,51,-20.0,52,-1.0,49,21.0
Arsenal,42,18,17,7,25,1993,71,,53,,28,
Aston Villa,38,20,8,10,15,2023,68,7.0,76,25.0,61,15.0
Aston Villa,38,18,7,13,5,2022,61,16.0,51,-1.0,46,-8.0
Aston Villa,38,13,6,19,-2,2021,45,-10.0,52,-3.0,54,8.0
Aston Villa,38,16,7,15,9,2020,55,20.0,55,14.0,46,-21.0
Aston Villa,38,9,8,21,-26,2019,35,,41,14.0,67,-9.0
Aston Villa,38,3,8,27,-49,2015,17,-21.0,27,-4.0,76,19.0
Aston Villa,38,10,8,20,-26,2014,38,-0.0,31,-8.0,57,-4.0
Aston Villa,38,10,8,20,-22,2013,38,-3.0,39,-8.0,61,-8.0
Aston Villa,38,10,11,17,-22,2012,41,3.0,47,10.0,69,16.0
Aston Villa,38,7,17,14,-16,2011,38,-10.0,37,-11.0,53,-6.0
Aston Villa,38,12,12,14,-11,2010,48,-16.0,48,-4.0,59,20.0
Aston Villa,38,17,13,8,13,2009,64,2.0,52,-2.0,39,-9.0
Aston Villa,38,17,11,10,6,2008,62,2.0,54,-17.0,48,-3.0
Aston Villa,38,16,12,10,20,2007,60,10.0,71,28.0,51,10.0
Aston Villa,38,11,17,10,2,2006,50,8.0,43,1.0,41,-14.0
Aston Villa,38,10,12,16,-13,2005,42,-5.0,42,-3.0,55,3.0
Aston Villa,38,12,11,15,-7,2004,47,-9.0,45,-3.0,52,8.0
Aston Villa,38,15,11,12,4,2003,56,11.0,48,6.0,44,-3.0
Aston Villa,38,12,9,17,-5,2002,45,-5.0,42,-4.0,47,-0.0
Aston Villa,38,12,14,12,-1,2001,50,-4.0,46,-0.0,47,4.0
Aston Villa,38,13,15,10,3,2000,54,-4.0,46,-0.0,43,8.0
Aston Villa,38,15,13,10,11,1999,58,3.0,46,-5.0,35,-11.0
Aston Villa,38,15,10,13,5,1998,55,-2.0,51,2.0,46,-2.0
Aston Villa,38,17,6,15,1,1997,57,-4.0,49,2.0,48,14.0
Aston Villa,38,17,10,11,13,1996,61,-2.0,47,-5.0,34,-1.0
Aston Villa,38,18,9,11,17,1995,63,15.0,52,1.0,35,-21.0
Aston Villa,42,11,15,16,-5,1994,48,-9.0,51,5.0,56,6.0
Aston Villa,42,15,12,15,-4,1993,57,,46,,50,
Barnsley,38,10,5,23,-45,1997,35,,37,,82,
Birmingham,38,8,15,15,-21,2010,39,-11.0,37,-1.0,58,11.0
Birmingham,38,13,11,14,-9,2009,50,,38,-8.0,47,-15.0
Birmingham,38,8,11,19,-16,2007,35,,46,18.0,62,12.0
Birmingham,38,8,10,20,-22,2005,34,-11.0,28,-12.0,50,4.0
Birmingham,38,11,12,15,-6,2004,45,-5.0,40,-3.0,46,-2.0
Birmingham,38,12,14,12,-5,2003,50,2.0,43,2.0,48,-1.0
Birmingham,38,13,9,16,-8,2002,48,,41,,49,
Blackburn,38,8,7,23,-30,2011,31,-12.0,48,2.0,78,19.0
Blackburn,38,11,10,17,-13,2010,43,-7.0,46,5.0,59,4.0
Blackburn,38,13,11,14,-14,2009,50,9.0,41,1.0,55,-5.0
Blackburn,38,10,11,17,-20,2008,41,-17.0,40,-10.0,60,12.0
Blackburn,38,15,13,10,2,2007,58,6.0,50,-2.0,48,-6.0
Blackburn,38,15,7,16,-2,2006,52,-11.0,52,1.0,54,12.0
Blackburn,38,19,6,13,9,2005,63,21.0,51,19.0,42,-1.0
Blackburn,38,9,15,14,-11,2004,42,-2.0,32,-19.0,43,-16.0
Blackburn,38,12,8,18,-8,2003,44,-16.0,51,-1.0,59,16.0
Blackburn,38,16,12,10,9,2002,60,14.0,52,-3.0,43,-8.0
Blackburn,38,12,10,16,4,2001,46,,55,17.0,51,-1.0
Blackburn,38,7,14,17,-14,1998,35,-23.0,38,-19.0,52,-0.0
Blackburn,38,16,10,12,5,1997,58,16.0,57,15.0,52,9.0
Blackburn,38,9,15,14,-1,1996,42,-19.0,42,-19.0,43,-4.0
Blackburn,38,18,7,13,14,1995,61,-28.0,61,-19.0,47,8.0
Blackburn,42,27,8,7,41,1994,89,5.0,80,17.0,39,3.0
Blackburn,42,25,9,8,27,1993,84,,63,,36,
Blackpool,38,10,9,19,-23,2010,39,,55,,78,
Bolton,38,10,6,22,-31,2011,36,-10.0,46,-6.0,77,21.0
Bolton,38,12,10,16,-4,2010,46,7.0,52,10.0,56,-11.0
Bolton,38,10,9,19,-25,2009,39,-2.0,42,1.0,67,14.0
Bolton,38,11,8,19,-12,2008,41,4.0,41,5.0,53,-1.0
Bolton,38,9,10,19,-18,2007,37,-19.0,36,-11.0,54,2.0
Bolton,38,16,8,14,-5,2006,56,-0.0,47,-2.0,52,11.0
Bolton,38,15,11,12,8,2005,56,-2.0,49,-0.0,41,-3.0
Bolton,38,16,10,12,5,2004,58,5.0,49,1.0,44,-12.0
Bolton,38,14,11,13,-8,2003,53,9.0,48,7.0,56,5.0
Bolton,38,10,14,14,-10,2002,44,4.0,41,-3.0,51,-11.0
Bolton,38,9,13,16,-18,2001,40,,44,3.0,62,1.0
Bolton,38,9,13,16,-20,1997,40,,41,2.0,61,-10.0
Bolton,38,8,5,25,-32,1995,29,,39,,71,
Bournemouth,38,13,9,16,-13,2023,48,9.0,54,17.0,67,-4.0
Bournemouth,38,11,6,21,-34,2022,39,,37,-3.0,71,6.0
Bournemouth,38,9,7,22,-25,2019,34,-11.0,40,-16.0,65,-5.0
Bournemouth,38,13,6,19,-14,2018,45,1.0,56,11.0,70,9.0
Bournemouth,38,11,11,16,-16,2017,44,-2.0,45,-10.0,61,-6.0
Bournemouth,38,12,10,16,-12,2016,46,4.0,55,10.0,67,-0.0
Bournemouth,38,11,9,18,-22,2015,42,,45,,67,
Bradford,38,5,11,22,-40,2000,26,-10.0,30,-8.0,70,2.0
Bradford,38,9,9,20,-30,1999,36,,38,,68,
Brentford,38,10,9,19,-9,2023,39,-20.0,56,-2.0,65,19.0
Brentford,38,15,14,9,12,2022,59,13.0,58,10.0,46,-10.0
Brentford,38,13,7,18,-8,2021,46,,48,,56,
Brighton,38,12,12,14,-7,2023,48,-14.0,55,-17.0,62,9.0
Brighton,38,18,8,12,19,2022,62,11.0,72,30.0,53,9.0
Brighton,38,12,15,11,-2,2021,51,10.0,42,2.0,44,-2.0
Brighton,38,9,14,15,-6,2020,41,-0.0,40,1.0,46,-8.0
Brighton,38,9,14,15,-15,2019,41,5.0,39,4.0,54,-6.0
Brighton,38,9,9,20,-25,2018,36,-4.0,35,1.0,60,6.0
Brighton,38,9,13,16,-20,2017,40,,34,,54,
Burnley,38,5,9,24,-37,2023,24,,41,7.0,78,25.0
Burnley,38,7,14,17,-19,2021,35,-4.0,34,1.0,53,-2.0
Burnley,38,10,9,19,-22,2020,39,-15.0,33,-10.0,55,5.0
Burnley,38,15,9,14,-7,2019,54,14.0,43,-2.0,50,-18.0
Burnley,38,11,7,20,-23,2018,40,-14.0,45,9.0,68,29.0
Burnley,38,14,12,12,-3,2017,54,14.0,36,-3.0,39,-16.0
Burnley,38,11,7,20,-16,2016,40,,39,11.0,55,2.0
Burnley,38,7,12,19,-25,2014,33,,28,-14.0,53,-29.0
Burnley,38,8,6,24,-40,2009,30,,42,,82,
Cardiff,38,10,4,24,-35,2018,34,,34,2.0,69,-5.0
Cardiff,38,7,9,22,-42,2013,30,,32,,74,
Charlton,38,8,10,20,-26,2006,34,-13.0,34,-7.0,60,5.0
Charlton,38,13,8,17,-14,2005,47,1.0,41,-1.0,55,-3.0
Charlton,38,12,10,16,-16,2004,46,-7.0,42,-9.0,58,7.0
Charlton,38,14,11,13,0,2003,53,4.0,51,6.0,51,-5.0
Charlton,38,14,7,17,-11,2002,49,5.0,45,7.0,56,7.0
Charlton,38,10,14,14,-11,2001,44,-8.0,38,-12.0,49,-8.0
Charlton,38,14,10,14,-7,2000,52,,50,9.0,57,1.0
Charlton,38,8,12,18,-15,1998,36,,41,,56,
Chelsea,38,18,9,11,14,2023,63,19.0,77,39.0,63,16.0
Chelsea,38,11,11,16,-9,2022,44,-30.0,38,-38.0,47,14.0
Chelsea,38,21,11,6,43,2021,74,7.0,76,18.0,33,-3.0
Chelsea,38,19,10,9,22,2020,67,1.0,58,-11.0,36,-18.0
Chelsea,38,20,6,12,15,2019,66,-6.0,69,6.0,54,15.0
Chelsea,38,21,9,8,24,2018,72,2.0,63,1.0,39,1.0
Chelsea,38,21,7,10,24,2017,70,-23.0,62,-23.0,38,5.0
Chelsea,38,30,3,5,52,2016,93,43.0,85,26.0,33,-20.0
Chelsea,38,12,14,12,6,2015,50,-37.0,59,-14.0,53,21.0
Chelsea,38,26,9,3,41,2014,87,5.0,73,2.0,32,5.0
Chelsea,38,25,7,6,44,2013,82,7.0,71,-4.0,27,-12.0
Chelsea,38,22,9,7,36,2012,75,11.0,75,10.0,39,-7.0
Chelsea,38,18,10,10,19,2011,64,-7.0,65,-4.0,46,13.0
Chelsea,38,21,8,9,36,2010,71,-15.0,69,-34.0,33,1.0
Chelsea,38,27,5,6,71,2009,86,3.0,103,35.0,32,8.0
Chelsea,38,25,8,5,44,2008,83,-2.0,68,3.0,24,-2.0
Chelsea,38,25,10,3,39,2007,85,2.0,65,1.0,26,2.0
Chelsea,38,24,11,3,40,2006,83,-8.0,64,-8.0,24,2.0
Chelsea,38,29,4,5,50,2005,91,-4.0,72,-0.0,22,7.0
Chelsea,38,29,8,1,57,2004,95,16.0,72,5.0,15,-15.0
Chelsea,38,24,7,7,37,2003,79,12.0,67,-1.0,30,-8.0
Chelsea,38,19,10,9,30,2002,67,3.0,68,2.0,38,-0.0
Chelsea,38,17,13,8,28,2001,64,3.0,66,-2.0,38,-7.0
Chelsea,38,17,10,11,23,2000,61,-4.0,68,15.0,45,11.0
Chelsea,38,18,11,9,19,1999,65,-10.0,53,-4.0,34,4.0
Chelsea,38,20,15,3,27,1998,75,12.0,57,-14.0,30,-13.0
Chelsea,38,20,3,15,28,1997,63,4.0,71,13.0,43,-12.0
Chelsea,38,16,11,11,3,1996,59,9.0,58,12.0,55,11.0
Chelsea,38,12,14,12,2,1995,50,-4.0,46,-4.0,44,-11.0
Chelsea,42,13,15,14,-5,1994,54,3.0,50,1.0,55,2.0
Chelsea,42,13,12,17,-4,1993,51,,49,,53,
Coventry,38,8,10,20,-27,2000,34,-10.0,36,-11.0,63,9.0
Coventry,38,12,8,18,-7,1999,44,2.0,47,8.0,54,3.0
Coventry,38,11,9,18,-12,1998,42,-10.0,39,-7.0,51,7.0
Coventry,38,12,16,10,2,1997,52,11.0,46,8.0,44,-10.0
Coventry,38,9,14,15,-16,1996,41,3.0,38,-4.0,54,-6.0
Coventry,38,8,14,16,-18,1995,38,-12.0,42,-2.0,60,-2.0
Coventry,42,12,14,16,-18,1994,50,-6.0,44,1.0,62,17.0
Coventry,42,14,14,14,-2,1993,56,,43,,45,
Crystal Palace,38,13,10,15,-1,2023,49,4.0,57,17.0,58,9.0
Crystal Palace,38,11,12,15,-9,2022,45,-3.0,40,-10.0,49,3.0
Crystal Palace,38,11,15,12,4,2021,48,4.0,50,9.0,46,-20.0
Crystal Palace,38,12,8,18,-25,2020,44,1.0,41,10.0,66,16.0
Crystal Palace,38,11,10,17,-19,2019,43,-6.0,31,-20.0,50,-3.0
Crystal Palace,38,14,7,17,-2,2018,49,5.0,51,6.0,53,-2.0
Crystal Palace,38,11,11,16,-10,2017,44,3.0,45,-5.0,55,-8.0
Crystal Palace,38,12,5,21,-13,2016,41,-1.0,50,11.0,63,12.0
Crystal Palace,38,11,9,18,-12,2015,42,-6.0,39,-8.0,51,-0.0
Crystal Palace,38,13,9,16,-4,2014,48,3.0,47,14.0,51,3.0
Crystal Palace,38,13,6,19,-15,2013,45,,33,-8.0,48,-14.0
Crystal Palace,38,7,12,19,-21,2004,33,,41,4.0,62,-9.0
Crystal Palace,38,8,9,21,-34,1997,33,,37,3.0,71,22.0
Crystal Palace,42,11,12,19,-15,1994,45,,34,,49,
Derby,38,1,8,29,-69,2007,11,,20,-13.0,89,26.0
Derby,38,8,6,24,-30,2001,30,-12.0,33,-4.0,63,4.0
Derby,38,10,12,16,-22,2000,42,4.0,37,-7.0,59,2.0
Derby,38,9,11,18,-13,1999,38,-14.0,44,4.0,57,12.0
Derby,38,13,13,12,-5,1998,52,-3.0,40,-12.0,45,-4.0
Derby,38,16,7,15,3,1997,55,9.0,52,7.0,49,-9.0
Derby,38,11,13,14,-13,1996,46,,45,,58,
Everton,38,13,9,16,-11,2023,40,4.0,40,6.0,51,-6.0
Everton,38,8,12,18,-23,2022,36,-3.0,34,-9.0,57,-9.0
Everton,38,11,6,21,-23,2021,39,-20.0,43,-4.0,66,18.0
Everton,38,17,8,13,-1,2020,59,10.0,47,3.0,48,-8.0
Everton,38,13,10,15,-12,2019,49,-5.0,44,-10.0,56,10.0
Everton,38,15,9,14,8,2018,54,5.0,54,10.0,46,-12.0
Everton,38,13,10,15,-14,2017,49,-12.0,44,-18.0,58,14.0
Everton,38,17,10,11,18,2016,61,14.0,62,3.0,44,-11.0
Everton,38,11,14,13,4,2015,47,-0.0,59,11.0,55,5.0
Everton,38,12,11,15,-2,2014,47,-25.0,48,-13.0,50,11.0
Everton,38,21,9,8,22,2013,72,9.0,61,6.0,39,-1.0
Everton,38,16,15,7,15,2012,63,7.0,55,5.0,40,-0.0
Everton,38,15,11,12,10,2011,56,2.0,50,-1.0,40,-5.0
Everton,38,13,15,10,6,2010,54,-7.0,51,-9.0,45,-4.0
Everton,38,16,13,9,11,2009,61,-2.0,60,5.0,49,12.0
Everton,38,17,12,9,18,2008,63,-2.0,55,-0.0,37,4.0
Everton,38,19,8,11,22,2007,65,7.0,55,3.0,33,-3.0
Everton,38,15,13,10,16,2006,58,8.0,52,18.0,36,-13.0
Everton,38,14,8,16,-15,2005,50,-11.0,34,-11.0,49,3.0
Everton,38,18,7,13,-1,2004,61,22.0,45,-0.0,46,-11.0
Everton,38,9,12,17,-12,2003,39,-20.0,45,-3.0,57,8.0
Everton,38,17,8,13,-1,2002,59,16.0,48,3.0,49,-8.0
Everton,38,11,10,17,-12,2001,43,1.0,45,-0.0,57,-2.0
Everton,38,11,9,18,-14,2000,42,-8.0,45,-14.0,59,10.0
Everton,38,12,14,12,10,1999,50,7.0,59,17.0,49,2.0
Everton,38,11,10,17,-5,1998,43,3.0,42,1.0,47,-9.0
Everton,38,9,13,16,-15,1997,40,-2.0,41,-3.0,56,-1.0
Everton,38,10,12,16,-13,1996,42,-19.0,44,-20.0,57,13.0
Everton,38,17,10,11,20,1995,61,11.0,64,20.0,44,-7.0
Everton,42,11,17,14,-7,1994,50,6.0,44,2.0,51,-12.0
Everton,42,12,8,22,-21,1993,44,,42,,63,
Fulham,38,13,8,17,-6,2023,47,-5.0,55,-0.0,61,8.0
Fulham,38,15,7,16,2,2022,52,,55,28.0,53,-0.0
Fulham,38,5,13,20,-26,2020,28,,27,-7.0,53,-28.0
Fulham,38,7,5,26,-47,2018,26,,34,-6.0,81,-4.0
Fulham,38,9,5,24,-45,2013,32,-11.0,40,-10.0,85,25.0
Fulham,38,11,10,17,-10,2012,43,-9.0,50,2.0,60,9.0
Fulham,38,14,10,14,-3,2011,52,3.0,48,-1.0,51,8.0
Fulham,38,11,16,11,6,2010,49,3.0,49,10.0,43,-3.0
Fulham,38,12,10,16,-7,2009,46,-7.0,39,-0.0,46,12.0
Fulham,38,14,11,13,5,2008,53,17.0,39,1.0,34,-26.0
Fulham,38,8,12,18,-22,2007,36,-3.0,38,-0.0,60,-0.0
Fulham,38,8,15,15,-22,2006,39,-9.0,38,-10.0,60,2.0
Fulham,38,14,6,18,-10,2005,48,4.0,48,-4.0,58,-2.0
Fulham,38,12,8,18,-8,2004,44,-8.0,52,-0.0,60,14.0
Fulham,38,14,10,14,6,2003,52,4.0,52,11.0,46,-4.0
Fulham,38,13,9,16,-9,2002,48,4.0,41,5.0,50,6.0
Fulham,38,10,14,14,-8,2001,44,,36,,44,
Huddersfield,38,3,7,28,-54,2018,16,-21.0,22,-6.0,76,18.0
Huddersfield,38,9,10,19,-30,2017,37,,28,,58,
Hull City,38,9,7,22,-43,2016,34,,37,4.0,80,29.0
Hull City,38,8,11,19,-18,2014,35,-2.0,33,-5.0,51,-2.0
Hull City,38,10,7,21,-15,2013,37,,38,4.0,53,-22.0
Hull City,38,6,12,20,-41,2009,30,-5.0,34,-5.0,75,11.0
Hull City,38,8,11,19,-25,2008,35,,39,,64,
Ipswich,38,9,9,20,-23,2001,36,-30.0,41,-16.0,64,22.0
Ipswich,38,20,6,12,15,2000,66,,57,21.0,42,-51.0
Ipswich,42,7,6,29,-57,1994,27,-16.0,36,1.0,93,35.0
Ipswich,42,9,16,17,-23,1993,43,,35,,58,
Leeds,38,7,10,21,-30,2022,31,-7.0,48,6.0,78,-1.0
Leeds,38,9,11,18,-37,2021,38,-21.0,42,-20.0,79,25.0
Leeds,38,18,5,15,8,2020,59,,62,22.0,54,-25.0
Leeds,38,8,9,21,-39,2003,33,-14.0,40,-18.0,79,22.0
Leeds,38,14,5,19,1,2002,47,-19.0,58,5.0,57,20.0
Leeds,38,18,12,8,16,2001,66,-2.0,53,-11.0,37,-6.0
Leeds,38,20,8,10,21,2000,68,-1.0,64,6.0,43,-0.0
Leeds,38,21,6,11,15,1999,69,2.0,58,-4.0,43,9.0
Leeds,38,18,13,7,28,1998,67,8.0,62,5.0,34,-12.0
Leeds,38,17,8,13,11,1997,59,13.0,57,29.0,46,8.0
Leeds,38,11,13,14,-10,1996,46,3.0,28,-12.0,38,-19.0
Leeds,38,12,7,19,-17,1995,43,-30.0,40,-19.0,57,19.0
Leeds,42,20,13,9,21,1994,73,3.0,59,-6.0,38,-1.0
Leeds,42,18,16,8,26,1993,70,,65,,39,
Leicester,38,9,7,22,-17,2022,34,-18.0,51,-11.0,68,9.0
Leicester,38,14,10,14,3,2021,52,-14.0,62,-6.0,59,9.0
Leicester,38,20,6,12,18,2020,66,4.0,68,1.0,50,9.0
Leicester,38,18,8,12,26,2019,62,10.0,67,16.0,41,-7.0
Leicester,38,15,7,16,3,2018,52,5.0,51,-5.0,48,-12.0
Leicester,38,12,11,15,-4,2017,47,3.0,56,8.0,60,-3.0
Leicester,38,12,8,18,-15,2016,44,-37.0,48,-20.0,63,27.0
Leicester,38,23,12,3,32,2015,81,40.0,68,22.0,36,-19.0
Leicester,38,11,8,19,-9,2014,41,,46,-2.0,55,-10.0
Leicester,38,6,15,17,-17,2003,33,,48,18.0,65,1.0
Leicester,38,5,13,20,-34,2001,28,-20.0,30,-9.0,64,13.0
Leicester,38,14,6,18,-12,2000,48,-7.0,39,-16.0,51,-4.0
Leicester,38,16,7,15,0,1999,55,6.0,55,15.0,55,9.0
Leicester,38,12,13,13,-6,1998,49,-4.0,40,-11.0,46,5.0
Leicester,38,13,14,11,10,1997,53,6.0,51,5.0,41,-13.0
Leicester,38,12,11,15,-8,1996,47,,46,1.0,54,-26.0
Leicester,42,6,11,25,-35,1994,29,,45,,80,
Liverpool,38,24,10,4,45,2023,82,15.0,86,11.0,41,-6.0
Liverpool,38,19,10,9,28,2022,67,-25.0,75,-19.0,47,21.0
Liverpool,38,28,8,2,68,2021,92,23.0,94,26.0,26,-16.0
Liverpool,38,20,9,9,26,2020,69,-30.0,68,-17.0,42,9.0
Liverpool,38,32,3,3,52,2019,99,2.0,85,-4.0,33,11.0
Liverpool,38,30,7,1,67,2018,97,22.0,89,5.0,22,-16.0
Liverpool,38,21,12,5,46,2017,75,-1.0,84,6.0,38,-4.0
Liverpool,38,22,10,6,36,2016,76,16.0,78,15.0,42,-8.0
Liverpool,38,16,12,10,13,2015,60,-2.0,63,11.0,50,2.0
Liverpool,38,18,8,12,4,2014,62,-22.0,52,-49.0,48,-2.0
Liverpool,38,26,6,6,51,2013,84,23.0,101,30.0,50,7.0
Liverpool,38,16,13,9,28,2012,61,9.0,71,24.0,43,3.0
Liverpool,38,14,10,14,7,2011,52,-6.0,47,-12.0,40,-4.0
Liverpool,38,17,7,14,15,2010,58,-5.0,59,-2.0,44,9.0
Liverpool,38,18,9,11,26,2009,63,-23.0,61,-16.0,35,8.0
Liverpool,38,25,11,2,50,2008,86,10.0,77,10.0,27,-1.0
Liverpool,38,21,13,4,39,2007,76,8.0,67,10.0,28,1.0
Liverpool,38,20,8,10,30,2006,68,-14.0,57,-0.0,27,2.0
Liverpool,38,25,7,6,32,2005,82,24.0,57,5.0,25,-16.0
Liverpool,38,17,7,14,11,2004,58,-2.0,52,-3.0,41,4.0
Liverpool,38,16,12,10,18,2003,60,-4.0,55,-6.0,37,-4.0
Liverpool,38,18,10,10,20,2002,64,-16.0,61,-6.0,41,11.0
Liverpool,38,24,8,6,37,2001,80,11.0,67,-4.0,30,-9.0
Liverpool,38,20,9,9,32,2000,69,2.0,71,20.0,39,9.0
Liverpool,38,19,10,9,21,1999,67,13.0,51,-17.0,30,-19.0
Liverpool,38,15,9,14,19,1998,54,-11.0,68,-0.0,49,7.0
