Club,Game Played,W,D,L,+/-,Year,Pts,Pts Diff,Goal For,GF Diff,Goal Against,GA Diff
Liverpool,38,18,11,9,26,1997,65,-3.0,68,6.0,42,5.0
Liverpool,38,19,11,8,25,1996,68,-3.0,62,-8.0,37,3.0
Liverpool,38,20,11,7,36,1995,71,-3.0,70,5.0,34,-3.0
Liverpool,42,21,11,10,28,1994,74,14.0,65,6.0,37,-18.0
Liverpool,42,17,9,16,4,1993,60,,59,,55,
Luton,38,6,8,24,-33,2023,26,,52,,85,
Man City,38,28,7,3,62,2023,91,2.0,96,2.0,34,1.0
Man City,38,28,5,5,61,2022,89,-4.0,94,-5.0,33,7.0
Man City,38,29,6,3,73,2021,93,7.0,99,16.0,26,-6.0
Man City,38,27,5,6,51,2020,86,5.0,83,-19.0,32,-3.0
Man City,38,26,3,9,67,2019,81,-17.0,102,7.0,35,12.0
Man City,38,32,2,4,72,2018,98,-2.0,95,-11.0,23,-4.0
Man City,38,32,4,2,79,2017,100,22.0,106,26.0,27,-12.0
Man City,38,23,9,6,41,2016,78,12.0,80,9.0,39,-2.0
Man City,38,19,9,10,30,2015,66,-13.0,71,-12.0,41,3.0
Man City,38,24,7,7,45,2014,79,-7.0,83,-19.0,38,1.0
Man City,38,27,5,6,65,2013,86,8.0,102,36.0,37,3.0
Man City,38,23,9,6,32,2012,78,-11.0,66,-27.0,34,5.0
Man City,38,28,5,5,64,2011,89,18.0,93,33.0,29,-4.0
Man City,38,21,8,9,27,2010,71,4.0,60,-13.0,33,-12.0
Man City,38,18,13,7,28,2009,67,17.0,73,15.0,45,-5.0
Man City,38,15,5,18,8,2008,50,-5.0,58,13.0,50,-3.0
Man City,38,15,10,13,-8,2007,55,13.0,45,16.0,53,9.0
Man City,38,11,9,18,-15,2006,42,-1.0,29,-14.0,44,-4.0
Man City,38,13,4,21,-5,2005,43,-9.0,43,-4.0,48,9.0
Man City,38,13,13,12,8,2004,52,11.0,47,-8.0,39,-15.0
Man City,38,9,14,15,1,2003,41,-10.0,55,8.0,54,-0.0
Man City,38,15,6,17,-7,2002,51,,47,6.0,54,-11.0
Man City,38,8,10,20,-24,2000,34,,41,8.0,65,7.0
Man City,38,9,11,18,-25,1995,38,-11.0,33,-20.0,58,-6.0
Man City,42,12,13,17,-11,1994,49,4.0,53,15.0,64,15.0
Man City,42,9,18,15,-11,1993,45,,38,,49,
Man Utd,38,18,6,14,-1,2023,60,-15.0,57,-1.0,58,15.0
Man Utd,38,23,6,9,15,2022,75,17.0,58,1.0,43,-14.0
Man Utd,38,16,10,12,0,2021,58,-16.0,57,-16.0,57,13.0
Man Utd,38,21,11,6,29,2020,74,8.0,73,7.0,44,8.0
Man Utd,38,18,12,8,30,2019,66,-0.0,66,1.0,36,-18.0
Man Utd,38,19,9,10,11,2018,66,-15.0,65,-3.0,54,26.0
Man Utd,38,25,6,7,40,2017,81,12.0,68,14.0,28,-1.0
Man Utd,38,18,15,5,25,2016,69,3.0,54,5.0,29,-6.0
Man Utd,38,19,9,10,14,2015,66,-4.0,49,-13.0,35,-2.0
Man Utd,38,20,10,8,25,2014,70,6.0,62,-2.0,37,-6.0
Man Utd,38,19,7,12,21,2013,64,-25.0,64,-22.0,43,-0.0
Man Utd,38,28,5,5,43,2012,89,-0.0,86,-3.0,43,10.0
Man Utd,38,28,5,5,56,2011,89,9.0,89,11.0,33,-4.0
Man Utd,38,23,11,4,41,2010,80,-5.0,78,-8.0,37,9.0
Man Utd,38,27,4,7,58,2009,85,-5.0,86,18.0,28,4.0
Man Utd,38,28,6,4,44,2008,90,3.0,68,-12.0,24,2.0
Man Utd,38,27,6,5,58,2007,87,-2.0,80,-3.0,22,-5.0
Man Utd,38,28,5,5,56,2006,89,6.0,83,11.0,27,-7.0
Man Utd,38,25,8,5,38,2005,83,6.0,72,14.0,34,8.0
Man Utd,38,22,11,5,32,2004,77,2.0,58,-6.0,26,-9.0
Man Utd,38,23,6,9,29,2003,75,-8.0,64,-10.0,35,1.0
Man Utd,38,25,8,5,40,2002,83,6.0,74,-13.0,34,-11.0
Man Utd,38,24,5,9,42,2001,77,-3.0,87,8.0,45,14.0
Man Utd,38,24,8,6,48,2000,80,-11.0,79,-18.0,31,-14.0
Man Utd,38,28,7,3,52,1999,91,12.0,97,17.0,45,8.0
Man Utd,38,22,13,3,43,1998,79,2.0,80,7.0,37,11.0
Man Utd,38,23,8,7,47,1997,77,2.0,73,-3.0,26,-18.0
Man Utd,38,21,12,5,32,1996,75,-7.0,76,3.0,44,9.0
Man Utd,38,25,7,6,38,1995,82,-6.0,73,-4.0,35,7.0
Man Utd,42,26,10,6,49,1994,88,-4.0,77,-3.0,28,-10.0
Man Utd,42,27,11,4,42,1993,92,,80,,38,
Middlesbrough,38,5,13,20,-26,2016,28,,27,-1.0,53,-4.0
Middlesbrough,38,7,11,20,-29,2008,32,-10.0,28,-15.0,57,4.0
Middlesbrough,38,10,12,16,-10,2007,42,-4.0,43,-1.0,53,4.0
Middlesbrough,38,12,10,16,-5,2006,46,1.0,44,-4.0,49,-9.0
Middlesbrough,38,12,9,17,-10,2005,45,-10.0,48,-5.0,58,12.0
Middlesbrough,38,14,13,11,7,2004,55,7.0,53,9.0,46,-6.0
Middlesbrough,38,13,9,16,-8,2003,48,-1.0,44,-4.0,52,8.0
Middlesbrough,38,13,10,15,4,2002,49,4.0,48,13.0,44,-3.0
Middlesbrough,38,12,9,17,-12,2001,45,3.0,35,-9.0,47,3.0
Middlesbrough,38,9,15,14,0,2000,42,-10.0,44,-2.0,44,-8.0
Middlesbrough,38,14,10,14,-6,1999,52,1.0,46,-2.0,52,-2.0
Middlesbrough,38,12,15,11,-6,1998,51,,48,-3.0,54,-6.0
Middlesbrough,38,10,12,16,-9,1996,39,-4.0,51,16.0,60,10.0
Middlesbrough,38,11,10,17,-15,1995,43,,35,,50,
Newcastle,38,18,6,14,23,2023,60,-11.0,85,17.0,62,29.0
Newcastle,38,19,14,5,35,2022,71,22.0,68,24.0,33,-29.0
Newcastle,38,13,10,15,-18,2021,49,4.0,44,-2.0,62,-0.0
Newcastle,38,12,9,17,-16,2020,45,1.0,46,8.0,62,4.0
Newcastle,38,11,11,16,-20,2019,44,-1.0,38,-4.0,58,10.0
Newcastle,38,12,9,17,-6,2018,45,1.0,42,3.0,48,1.0
Newcastle,38,12,8,18,-8,2017,44,,39,-5.0,47,-18.0
Newcastle,38,9,10,19,-21,2015,37,-2.0,44,4.0,65,2.0
Newcastle,38,10,9,19,-23,2014,39,-10.0,40,-3.0,63,4.0
Newcastle,38,15,4,19,-16,2013,49,8.0,43,-2.0,59,-9.0
Newcastle,38,11,8,19,-23,2012,41,-24.0,45,-11.0,68,17.0
Newcastle,38,19,8,11,5,2011,65,19.0,56,-0.0,51,-6.0
Newcastle,38,11,13,14,-1,2010,46,,56,16.0,57,-2.0
Newcastle,38,7,13,18,-19,2008,34,-9.0,40,-5.0,59,-6.0
Newcastle,38,11,10,17,-20,2007,43,-0.0,45,7.0,65,18.0
Newcastle,38,11,10,17,-9,2006,43,-15.0,38,-9.0,47,5.0
Newcastle,38,17,7,14,5,2005,58,14.0,47,-0.0,42,-15.0
Newcastle,38,10,14,14,-10,2004,44,-12.0,47,-5.0,57,17.0
Newcastle,38,13,17,8,12,2003,56,-13.0,52,-11.0,40,-8.0
Newcastle,38,21,6,11,15,2002,69,-2.0,63,-11.0,48,-4.0
Newcastle,38,21,8,9,22,2001,71,20.0,74,30.0,52,2.0
Newcastle,38,14,9,15,-6,2000,51,-1.0,44,-19.0,50,-4.0
Newcastle,38,14,10,14,9,1999,52,6.0,63,15.0,54,-0.0
Newcastle,38,11,13,14,-6,1998,46,2.0,48,13.0,54,10.0
Newcastle,38,11,11,16,-9,1997,44,-24.0,35,-38.0,44,4.0
Newcastle,38,19,11,8,33,1996,68,-10.0,73,7.0,40,3.0
Newcastle,38,24,6,8,29,1995,78,6.0,66,-1.0,37,-10.0
Newcastle,42,20,12,10,20,1994,72,-5.0,67,-15.0,47,6.0
Newcastle,42,23,8,11,41,1993,77,,82,,41,
Norwich,38,5,7,26,-61,2021,22,,23,-3.0,84,9.0
Norwich,38,5,6,27,-49,2019,21,,26,-13.0,75,8.0
Norwich,38,9,7,22,-28,2015,34,,39,11.0,67,5.0
Norwich,38,8,9,21,-34,2013,33,-11.0,28,-13.0,62,4.0
Norwich,38,10,14,14,-17,2012,44,-3.0,41,-11.0,58,-8.0
Norwich,38,12,11,15,-14,2011,47,,52,10.0,66,-11.0
Norwich,38,7,12,19,-35,2004,33,,42,5.0,77,23.0
Norwich,42,10,13,19,-17,1994,43,-10.0,37,-28.0,54,-7.0
Norwich,42,12,17,13,4,1993,53,,65,,61,
Nottm Forest,38,9,9,20,-18,2023,32,-6.0,49,11.0,67,-1.0
Nottm Forest,38,9,11,18,-30,2022,38,,38,3.0,68,-1.0
Nottm Forest,38,7,9,22,-34,1998,30,,35,4.0,69,10.0
Nottm Forest,38,6,16,16,-28,1996,34,-24.0,31,-19.0,59,5.0
Nottm Forest,38,15,13,10,-4,1995,58,-19.0,50,-22.0,54,11.0
Nottm Forest,42,22,11,9,29,1994,77,,72,,43,
Oldham,42,9,13,20,-26,1993,40,,42,,68,
Portsmouth,38,7,7,24,-32,2009,19,-22.0,34,-4.0,66,9.0
Portsmouth,38,10,11,17,-19,2008,41,-16.0,38,-10.0,57,17.0
Portsmouth,38,16,9,13,8,2007,57,3.0,48,3.0,40,-2.0
Portsmouth,38,14,12,12,3,2006,54,16.0,45,8.0,42,-20.0
Portsmouth,38,10,8,20,-25,2005,38,-1.0,37,-6.0,62,3.0
Portsmouth,38,10,9,19,-16,2004,39,-6.0,43,-4.0,59,5.0
Portsmouth,38,12,9,17,-7,2003,45,,47,,54,
QPR,38,8,6,24,-31,2014,30,,42,12.0,73,13.0
QPR,38,4,13,21,-30,2012,25,-12.0,30,-13.0,60,-6.0
QPR,38,10,7,21,-23,2011,37,,43,5.0,66,9.0
QPR,38,9,6,23,-19,1995,33,-27.0,38,-23.0,57,-2.0
QPR,42,17,9,16,2,1994,60,-0.0,61,-1.0,59,-2.0
QPR,42,16,12,14,1,1993,60,,62,,61,
Reading,38,6,10,22,-30,2012,28,,43,2.0,73,7.0
Reading,38,10,6,22,-25,2007,36,-19.0,41,-11.0,66,19.0
Reading,38,16,7,15,5,2006,55,,52,,47,
Sheff Utd,38,3,7,28,-69,2023,16,,35,15.0,104,41.0
Sheff Utd,38,7,2,29,-43,2020,23,-31.0,20,-19.0,63,24.0
Sheff Utd,38,14,12,12,0,2019,54,,39,7.0,39,-16.0
Sheff Utd,38,10,8,20,-23,2006,38,,32,-10.0,55,-5.0
Sheff Utd,42,8,18,16,-18,1993,42,,42,,60,
Sheff Wed,38,8,7,23,-32,1999,31,-15.0,38,-3.0,70,28.0
Sheff Wed,38,13,7,18,-1,1998,46,2.0,41,-11.0,42,-25.0
Sheff Wed,38,12,8,18,-15,1997,44,-13.0,52,2.0,67,16.0
Sheff Wed,38,14,15,9,-1,1996,57,17.0,50,2.0,51,-10.0
Sheff Wed,38,10,10,18,-13,1995,40,-11.0,48,-1.0,61,4.0
Sheff Wed,42,13,12,17,-8,1994,51,-13.0,49,-27.0,57,3.0
Sheff Wed,42,16,16,10,22,1993,64,,76,,54,
Southampton,38,6,7,25,-37,2022,25,-15.0,36,-7.0,73,6.0
Southampton,38,9,13,16,-24,2021,40,-3.0,43,-4.0,67,-1.0
Southampton,38,12,7,19,-21,2020,43,-9.0,47,-4.0,68,8.0
Southampton,38,15,7,16,-9,2019,52,13.0,51,6.0,60,-5.0
Southampton,38,9,12,17,-20,2018,39,3.0,45,8.0,65,9.0
Southampton,38,7,15,16,-19,2017,36,-10.0,37,-4.0,56,8.0
Southampton,38,12,10,16,-7,2016,46,-17.0,41,-18.0,48,7.0
Southampton,38,18,9,11,18,2015,63,3.0,59,5.0,41,8.0
Southampton,38,18,6,14,21,2014,60,4.0,54,-0.0,33,-13.0
Southampton,38,15,11,12,8,2013,56,15.0,54,5.0,46,-14.0
Southampton,38,9,14,15,-11,2012,41,,49,4.0,60,-6.0
Southampton,38,6,14,18,-21,2004,32,-15.0,45,1.0,66,21.0
Southampton,38,12,11,15,-1,2003,47,-5.0,44,1.0,45,-1.0
Southampton,38,13,13,12,-3,2002,52,7.0,43,-3.0,46,-8.0
Southampton,38,12,9,17,-8,2001,45,-7.0,46,6.0,54,6.0
Southampton,38,14,10,14,-8,2000,52,8.0,40,-5.0,48,-14.0
Southampton,38,12,8,18,-17,1999,44,3.0,45,8.0,62,-2.0
Southampton,38,11,8,19,-27,1998,41,-7.0,37,-13.0,64,9.0
Southampton,38,14,6,18,-5,1997,48,7.0,50,-0.0,55,-1.0
Southampton,38,10,11,17,-6,1996,41,3.0,50,16.0,56,4.0
Southampton,38,9,11,18,-18,1995,38,-16.0,34,-27.0,52,-11.0
Southampton,42,12,18,12,-2,1994,54,11.0,61,12.0,63,-3.0
Southampton,42,12,7,23,-17,1993,43,,49,,66,
Stoke City,38,7,12,19,-33,2017,33,-11.0,35,-6.0,68,12.0
Stoke City,38,11,11,16,-15,2016,44,-7.0,41,-0.0,56,1.0
Stoke City,38,14,9,15,-14,2015,51,-3.0,41,-7.0,55,10.0
Stoke City,38,15,9,14,3,2014,54,4.0,48,3.0,45,-7.0
Stoke City,38,13,11,14,-7,2013,50,8.0,45,11.0,52,7.0
Stoke City,38,9,15,14,-11,2012,42,-3.0,34,-2.0,45,-8.0
Stoke City,38,11,12,15,-17,2011,45,-1.0,36,-10.0,53,5.0
Stoke City,38,13,7,18,-2,2010,46,-1.0,46,12.0,48,-0.0
Stoke City,38,11,14,13,-14,2009,47,2.0,34,-4.0,48,-7.0
Stoke City,38,12,9,17,-17,2008,45,,38,,55,
Sunderland,38,6,6,26,-40,2016,24,-15.0,29,-19.0,69,7.0
Sunderland,38,9,12,17,-14,2015,39,1.0,48,17.0,62,9.0
Sunderland,38,7,17,14,-22,2014,38,-0.0,31,-10.0,53,-7.0
Sunderland,38,10,8,20,-19,2013,38,-1.0,41,-0.0,60,6.0
Sunderland,38,9,12,17,-13,2012,39,-6.0,41,-4.0,54,8.0
Sunderland,38,11,12,15,-1,2011,45,-2.0,45,-0.0,46,-10.0
Sunderland,38,12,11,15,-11,2010,47,3.0,45,-3.0,56,-0.0
Sunderland,38,11,11,16,-8,2009,44,8.0,48,14.0,56,2.0
Sunderland,38,9,9,20,-20,2008,36,-3.0,34,-2.0,54,-5.0
Sunderland,38,11,6,21,-23,2007,39,,36,10.0,59,-10.0
Sunderland,38,3,6,29,-43,2005,15,,26,5.0,69,4.0
Sunderland,38,4,7,27,-44,2002,19,-21.0,21,-8.0,65,14.0
Sunderland,38,10,10,18,-22,2001,40,-17.0,29,-17.0,51,10.0
Sunderland,38,15,12,11,5,2000,57,-1.0,46,-11.0,41,-15.0
Sunderland,38,16,10,12,1,1999,58,,57,22.0,56,3.0
Sunderland,38,10,10,18,-18,1996,40,,35,,53,
Swansea,38,8,9,21,-28,2017,33,-8.0,28,-17.0,56,-14.0
Swansea,38,12,5,21,-25,2016,41,-6.0,45,3.0,70,18.0
Swansea,38,12,11,15,-10,2015,47,-9.0,42,-4.0,52,3.0
Swansea,38,16,8,14,-3,2014,56,14.0,46,-8.0,49,-5.0
Swansea,38,11,9,18,0,2013,42,-4.0,54,7.0,54,3.0
Swansea,38,11,13,14,-4,2012,46,-1.0,47,3.0,51,-0.0
Swansea,38,12,11,15,-7,2011,47,,44,,51,
Swindon,42,5,15,22,-53,1993,30,,47,,100,
Tottenham,38,20,6,12,13,2023,66,6.0,74,4.0,61,-2.0
Tottenham,38,18,6,14,7,2022,60,-11.0,70,1.0,63,23.0
Tottenham,38,22,5,11,29,2021,71,9.0,69,1.0,40,-5.0
Tottenham,38,18,8,12,23,2020,62,3.0,68,7.0,45,-2.0
Tottenham,38,16,11,11,14,2019,59,-12.0,61,-6.0,47,8.0
Tottenham,38,23,2,13,28,2018,71,-6.0,67,-7.0,39,3.0
Tottenham,38,23,8,7,38,2017,77,-9.0,74,-12.0,36,10.0
Tottenham,38,26,8,4,60,2016,86,16.0,86,17.0,26,-9.0
Tottenham,38,19,13,6,34,2015,70,6.0,69,11.0,35,-18.0
Tottenham,38,19,7,12,5,2014,64,-5.0,58,3.0,53,2.0
Tottenham,38,21,6,11,4,2013,69,-3.0,55,-11.0,51,5.0
Tottenham,38,21,9,8,20,2012,72,3.0,66,-0.0,46,5.0
Tottenham,38,20,9,9,25,2011,69,7.0,66,11.0,41,-5.0
Tottenham,38,16,14,8,9,2010,62,-8.0,55,-12.0,46,5.0
Tottenham,38,21,7,10,26,2009,70,19.0,67,22.0,41,-4.0
Tottenham,38,14,9,15,0,2008,51,5.0,45,-21.0,45,-16.0
Tottenham,38,11,13,14,5,2007,46,-14.0,66,9.0,61,7.0
Tottenham,38,17,9,12,3,2006,60,-5.0,57,4.0,54,16.0
Tottenham,38,18,11,9,15,2005,65,13.0,53,6.0,38,-3.0
Tottenham,38,14,10,14,6,2004,52,7.0,47,-0.0,41,-16.0
Tottenham,38,13,6,19,-10,2003,45,-5.0,47,-4.0,57,-5.0
Tottenham,38,14,8,16,-11,2002,50,-0.0,51,2.0,62,9.0
Tottenham,38,14,8,16,-4,2001,50,1.0,49,2.0,53,-1.0
Tottenham,38,13,10,15,-7,2000,49,-4.0,47,-10.0,54,5.0
Tottenham,38,15,8,15,8,1999,53,6.0,57,10.0,49,-1.0
Tottenham,38,11,14,13,-3,1998,47,3.0,47,3.0,50,-6.0
Tottenham,38,11,11,16,-12,1997,44,-2.0,44,-0.0,56,5.0
Tottenham,38,13,7,18,-7,1996,46,-15.0,44,-6.0,51,13.0
Tottenham,38,16,13,9,12,1995,61,-1.0,50,-16.0,38,-20.0
Tottenham,42,16,14,12,8,1994,62,17.0,66,12.0,58,-1.0
Tottenham,42,11,12,19,-5,1993,45,,54,,59,
Watford,38,6,5,27,-43,2021,23,,34,-2.0,77,13.0
Watford,38,8,10,20,-28,2019,34,-16.0,36,-16.0,64,5.0
Watford,38,14,8,16,-7,2018,50,9.0,52,8.0,59,-5.0
Watford,38,11,8,19,-20,2017,41,1.0,44,4.0,64,-4.0
Watford,38,11,7,20,-28,2016,40,-5.0,40,-0.0,68,18.0
Watford,38,12,9,17,-10,2015,45,,40,11.0,50,-9.0
Watford,38,5,13,20,-30,2006,28,,29,-6.0,59,-18.0
Watford,38,6,6,26,-42,1999,24,,35,,77,
West Brom,38,5,11,22,-41,2020,26,,35,4.0,76,20.0
West Brom,38,6,13,19,-25,2017,31,-14.0,31,-12.0,56,5.0
West Brom,38,12,9,17,-8,2016,45,2.0,43,9.0,51,3.0
West Brom,38,10,13,15,-14,2015,43,-1.0,34,-4.0,48,-3.0
West Brom,38,11,11,16,-13,2014,44,8.0,38,-5.0,51,-8.0
West Brom,38,7,15,16,-16,2013,36,-13.0,43,-10.0,59,2.0
West Brom,38,14,7,17,-4,2012,49,2.0,53,8.0,57,5.0
West Brom,38,13,8,17,-7,2011,47,-0.0,45,-11.0,52,-19.0
West Brom,38,12,11,15,-15,2010,47,,56,20.0,71,4.0
West Brom,38,8,8,22,-31,2008,32,,36,5.0,67,9.0
West Brom,38,7,9,22,-27,2005,30,-4.0,31,-5.0,58,-3.0
West Brom,38,6,16,16,-25,2004,34,,36,7.0,61,-4.0
West Brom,38,6,8,24,-36,2002,26,,29,,65,
West Ham,38,14,10,14,-14,2023,52,12.0,60,18.0,74,19.0
West Ham,38,11,7,20,-13,2022,40,-16.0,42,-18.0,55,4.0
West Ham,38,16,8,14,9,2021,56,-9.0,60,-2.0,51,4.0
West Ham,38,19,8,11,15,2020,65,26.0,62,13.0,47,-15.0
West Ham,38,10,9,19,-13,2019,39,-13.0,49,-3.0,62,7.0
West Ham,38,15,7,16,-3,2018,52,10.0,52,4.0,55,-13.0
West Ham,38,10,12,16,-20,2017,42,-3.0,48,1.0,68,4.0
West Ham,38,12,9,17,-17,2016,45,-17.0,47,-18.0,64,13.0
West Ham,38,16,14,8,14,2015,62,15.0,65,21.0,51,4.0
West Ham,38,12,11,15,-3,2014,47,7.0,44,4.0,47,-4.0
West Ham,38,11,7,20,-11,2013,40,-6.0,40,-5.0,51,-2.0
West Ham,38,12,10,16,-8,2012,46,,45,2.0,53,-17.0
West Ham,38,7,12,19,-27,2010,33,-2.0,43,-4.0,70,4.0
West Ham,38,8,11,19,-19,2009,35,-16.0,47,5.0,66,21.0
West Ham,38,14,9,15,-3,2008,51,2.0,42,-0.0,45,-5.0
West Ham,38,13,10,15,-8,2007,49,8.0,42,7.0,50,-9.0
West Ham,38,12,5,21,-24,2006,41,-14.0,35,-17.0,59,4.0
West Ham,38,16,7,15,-3,2005,55,,52,10.0,55,-4.0
West Ham,38,10,12,16,-17,2002,42,-11.0,42,-6.0,59,2.0
West Ham,38,15,8,15,-9,2001,53,11.0,48,3.0,57,7.0
West Ham,38,10,12,16,-5,2000,42,-13.0,45,-7.0,50,-3.0
West Ham,38,15,10,13,-1,1999,55,-2.0,52,6.0,53,-0.0
West Ham,38,16,9,13,-7,1998,57,1.0,46,-10.0,53,-4.0
West Ham,38,16,8,14,-1,1997,56,14.0,56,17.0,57,9.0
West Ham,38,10,12,16,-9,1996,42,-9.0,39,-4.0,48,-4.0
West Ham,38,14,9,15,-9,1995,51,1.0,43,-1.0,52,4.0
West Ham,42,13,11,18,-4,1994,50,-2.0,44,-3.0,48,-10.0
West Ham,42,13,13,16,-11,1993,52,,47,,58,
Wigan,38,9,9,20,-26,2012,36,-7.0,47,5.0,73,11.0
Wigan,38,11,10,17,-20,2011,43,1.0,42,2.0,62,1.0
Wigan,38,9,15,14,-21,2010,42,6.0,40,3.0,61,-18.0
Wigan,38,9,9,20,-42,2009,36,-9.0,37,3.0,79,34.0
Wigan,38,12,9,17,-11,2008,45,5.0,34,-0.0,45,-6.0
Wigan,38,10,10,18,-17,2007,40,2.0,34,-3.0,51,-8.0
Wigan,38,10,8,20,-22,2006,38,-13.0,37,-8.0,59,7.0
Wigan,38,15,6,17,-7,2005,51,,45,,52,
Wimbledon,38,7,12,19,-28,1999,33,-9.0,46,6.0,74,11.0
Wimbledon,38,10,12,16,-23,1998,42,-2.0,40,6.0,63,17.0
Wimbledon,38,10,14,14,-12,1997,44,-12.0,34,-15.0,46,-0.0
Wimbledon,38,15,11,12,3,1996,56,15.0,49,-6.0,46,-24.0
Wimbledon,38,10,11,17,-15,1995,41,-15.0,55,7.0,70,5.0
Wimbledon,42,15,11,16,-17,1994,56,-9.0,48,-8.0,65,12.0
Wimbledon,42,18,11,13,3,1993,65,,56,,53,
Wolves,38,13,7,18,-15,2023,46,5.0,50,19.0,65,7.0
Wolves,38,11,8,19,-27,2022,41,-10.0,31,-7.0,58,15.0
Wolves,38,15,6,17,-5,2021,51,6.0,38,2.0,43,-9.0
Wolves,38,12,9,17,-16,2020,45,-14.0,36,-15.0,52,12.0
Wolves,38,15,14,9,11,2019,59,2.0,51,4.0,40,-6.0
Wolves,38,16,9,13,1,2018,57,,47,7.0,46,-36.0
Wolves,38,5,10,23,-42,2011,25,-15.0,40,-6.0,82,16.0
Wolves,38,11,7,20,-20,2010,40,2.0,46,14.0,66,10.0
Wolves,38,9,11,18,-24,2009,38,,32,-6.0,56,-21.0
Wolves,38,7,12,19,-39,2003,33,,38,,77,
